"","x"
"1","resumen"
"2","concepto"
"3","holguras"
"4","capacidad"
"5","dentro"
"6","analisis"
"7","realiza"
"8","proceso"
"9","toma"
"10","decisiones"
"11","politica"
"12","monetaria"
"13","holguras"
"14","capacidad"
"15","rol"
"16","destacado"
"17","resumen"
"18","presiones"
"19","inflacionarias"
"20","originadas"
"21","intensidad"
"22","uso"
"23","factores"
"24","productivos"
"25","condiciones"
"26","oferta"
"27","demanda"
"28","distintos"
"29","mercados"
"30","bienes"
"31","concepto"
"32","resume"
"33","manera"
"34","generica"
"35","holguras"
"36","capacidad"
"37","brecha"
"38","producto"
"39","define"
"40","diferencia"
"41","producto"
"42","interno"
"43","bruto"
"44","pib"
"45","producto"
"46","potencial"
"47","economia"
"48","momento"
"49","tiempo"
"50","pib"
"51","potencial"
"52","dice"
"53","brecha"
"54","producto"
"55","positiva"
"56","tal"
"57","economia"
"58","presenta"
"59","holguras"
"60","capacidad"
"61","negativas"
"62","tiende"
"63","producir"
"64","aceleracion"
"65","inflacion"
"66","contrario"
"67","producto"
"68","bajo"
"69","potencial"
"70","dice"
"71","brecha"
"72","producto"
"73","negativa"
"74","holguras"
"75","capacidad"
"76","positivas"
"77","inflacion"
"78","tiende"
"79","desacelerarse"
"80","importante"
"81","notar"
"82","brecha"
"83","producto"
"84","negativa"
"85","decir"
"86","existen"
"87","holguras"
"88","capacidad"
"89","entonces"
"90","existe"
"91","posibilidad"
"92","expandir"
"93","produccion"
"94","redunde"
"95","aceleracion"
"96","inflacion"
"97","holguras"
"98","capacidad"
"99","brecha"
"100","producto"
"101","importantes"
"102","bien"
"103","presiones"
"104","inflacionarias"
"105","generan"
"106","afectan"
"107","solo"
"108","fraccion"
"109","menor"
"110","volatilidad"
"111","inflacion"
"112","politica"
"113","monetaria"
"114","transmite"
"115","precisamente"
"116","medio"
"117","efectos"
"118","cambios"
"119","interes"
"120","resultantes"
"121","ajuste"
"122","tasa"
"123","politica"
"124","monetaria"
"125","holguras"
"126","problema"
"127","aplicacion"
"128","practica"
"129","concepto"
"130","brecha"
"131","producto"
"132","producto"
"133","potencial"
"134","directamente"
"135","observable"
"136","economia"
"137","ende"
"138","tampoco"
"139","brecha"
"140","existen"
"141","varias"
"142","alternativas"
"143","metodologicas"
"144","cuales"
"145","pueden"
"146","destacar"
"147","primera"
"148","aproximacion"
"149","consiste"
"150","estimar"
"151","producto"
"152","potencial"
"153","tendencia"
"154","pib"
"155","utilizando"
"156","ello"
"157","algun"
"158","filtro"
"159","ejemplo"
"160","filtro"
"161","hodrickprescott"
"162","enfoque"
"163","presupone"
"164","producto"
"165","efectivo"
"166","ubica"
"167","potencial"
"168","enfoque"
"169","alternativo"
"170","basa"
"171","estimar"
"172","funcion"
"173","produccion"
"174","economia"
"175","producto"
"176","determinado"
"177","combinacion"
"178","insumos"
"179","basicos"
"180","capital"
"181","trabajo"
"182","tecnologia"
"183","eficiencia"
"184","uso"
"185","recursos"
"186","enfoque"
"187","producto"
"188","potencial"
"189","corresponde"
"190","producto"
"191","complejidad"
"192","adicional"
"193","existen"
"194","holguras"
"195","sector"
"196","productivo"
"197","factor"
"198","productivo"
"199","hace"
"200","dificil"
"201","estimar"
"202","velocidad"
"203","cierran"
"204","brechas"
"205","politica"
"206","monetaria"
"207","lograria"
"208","insumos"
"209","utilizaran"
"210","plena"
"211","capacidad"
"212","productividad"
"213","ubicara"
"214","tendencia"
"215","importante"
"216","enfatizar"
"217","producto"
"218","potencial"
"219","hace"
"220","referencia"
"221","brecha"
"222","producto"
"223","corresponde"
"224","cierto"
"225","producto"
"226","tiempo"
"227","tasa"
"228","crecimiento"
"229","producto"
"230","potencial"
"231","ultima"
"232","relaciona"
"233","velocidad"
"234","crecer"
"235","tiempo"
"236","determinada"
"237","tasa"
"238","acumulan"
"239","factores"
"240","productivos"
"241","capital"
"242","trabajo"
"243","crecimiento"
"244","alcanzar"
"245","productividad"
"246","factores"
"247","largo"
"248","producto"
"249","debe"
"250","crecer"
"251","misma"
"252","tasa"
"253","producto"
"254","potencial"
"255","embargo"
"256","corto"
"257","primero"
"258","crecer"
"259","distintas"
"260","tasa"
"261","crecimiento"
"262","conforme"
"263","expanda"
"264","contraiga"
"265","brecha"
"266","producto"
"267","ejemplo"
"268","brecha"
"269","negativa"
"270","existen"
"271","condiciones"
"272","producto"
"273","economia"
"274","pueda"
"275","crecer"
"276","tasa"
"277","tasa"
"278","crecimiento"
"279","producto"
"280","potencial"
"281","cierto"
"282","tiempo"
"283","desborden"
"284","presiones"
"285","inflacionarias"
"286","insumo"
"287","trabajo"
"288","plena"
"289","capacidad"
"290","determinada"
"291","fuerza"
"292","trabajo"
"293","tasa"
"294","desempleo"
"295","coherente"
"296","ausencia"
"297","presiones"
"298","inflacionarias"
"299","tasa"
"300","desempleo"
"301","conoce"
"302","nairu"
"303","non"
"304","accelerating"
"305","inflation"
"306","rate"
"307","unemployment"
"308","estima"
"309","tendencia"
"310","tasa"
"311","desempleo"
"312","observada"
"313","escenario"
"314","internacional"
"315","examina"
"316","evolucion"
"317","reciente"
"318","perspectivas"
"319","economia"
"320","mundial"
"321","proximos"
"322","describe"
"323","escenario"
"324","externo"
"325","considerado"
"326","probable"
"327","economia"
"328","riesgo"
"329","implicitos"
"330","crecimiento"
"331","mundial"
"332","economia"
"333","mundial"
"334","termino"
"335","creciendo"
"336","tasa"
"337","crecimiento"
"338","mundial"
"339","veinte"
"340","proyecciones"
"341","crecimiento"
"342","mundial"
"343","mundial"
"344","mantienen"
"345","mayores"
"346","cambios"
"347","respecto"
"348","previsto"
"349","atras"
"350","anticipandose"
"351","volverian"
"352","superar"
"353","decada"
"354","noventa"
"355","crecimiento"
"356","ponderado"
"357","socios"
"358","comerciales"
"359","mundial"
"360","reduce"
"361","levemente"
"362","menor"
"363","dinamismo"
"364","mejora"
"365","proyecciones"
"366","favorables"
"367","condiciones"
"368","financiamiento"
"369","externo"
"370","alto"
"371","precio"
"372","commodities"
"373","dinamismo"
"374","economia"
"375","mundial"
"376","modo"
"377","crecimiento"
"378","mundial"
"379","ponderado"
"380","paridad"
"381","poder"
"382","compra"
"383","ppc"
"384","ubicado"
"385","socios"
"386","comerciales"
"387","alcanzaria"
"388","proximo"
"389","crecimiento"
"390","ponderado"
"391","socios"
"392","comerciales"
"393","principales"
"394","socios"
"395","comerciales"
"396","ubicado"
"397","llegaria"
"398","panorama"
"399","crecimiento"
"400","mundial"
"401","vislumbra"
"402","positivo"
"403","pueden"
"404","descartar"
"405","revisiones"
"406","baja"
"407","medida"
"408","crecimiento"
"409","ponderado"
"410","participacion"
"411","pib"
"412","mundial"
"413","ppc"
"414","precio"
"415","petroleo"
"416","descienda"
"417","acuerdo"
"418","proyectado"
"419","crecimiento"
"420","ponderado"
"421","participacion"
"422","exportaciones"
"423","totales"
"424","f"
"425","proyeccion"
"426","fuentes"
"427","mantiene"
"428","panorama"
"429","favorable"
"430","crecimiento"
"431","mundial"
"432","ponderado"
"433","banco"
"434","muestra"
"435","banco"
"436","principales"
"437","socios"
"438","comerciales"
"439","promediaria"
"440","inversion"
"441","fondo"
"442","monetario"
"443","internacional"
"444","proyecciones"
"445","crecimiento"
"446","permanecieron"
"447","estables"
"448","crecido"
"449","esperan"
"450","respectivamente"
"451","ambas"
"452","decada"
"453","noventa"
"454","corto"
"455","crecimiento"
"456","mundial"
"457","ppc"
"458","supera"
"459","ponderado"
"460","principales"
"461","socios"
"462","comerciales"
"463","exportaciones"
"464","importaciones"
"465","diferencias"
"466","participacion"
"467","asia"
"468","altas"
"469","crecimiento"
"470","participacion"
"471","dentro"
"472","pib"
"473","mundial"
"474","ppc"
"475","significativamente"
"476","dentro"
"477","exportaciones"
"478","chilenas"
"479","crecimiento"
"480","sustancialmente"
"481","menor"
"482","participacion"
"483","exportaciones"
"484","chilenas"
"485","cerca"
"486","doble"
"487","proporcion"
"488","dentro"
"489","pib"
"490","mundial"
"491","ppc"
"492","estudios"
"493","international"
"494","energy"
"495","agency"
"496","iea"
"497","fmi"
"498","ocde"
"499","incremento"
"500","barril"
"501","reduce"
"502","producto"
"503","mundial"
"504","punto"
"505","porcentual"
"506","respectivamente"
"507","politica"
"508","monetaria"
"509","efectos"
"510","reduccion"
"511","estimulo"
"512","monetario"
"513","veran"
"514","compensadas"
"515","dinamica"
"516","mostraria"
"517","consumo"
"518","recuperacion"
"519","empleo"
"520","mantienen"
"521","firmes"
"522","indicadores"
"523","produccion"
"524","industrial"
"525","perspectivas"
"526","actividad"
"527","sectores"
"528","manufacturero"
"529","servicios"
"530","aumento"
"531","productividad"
"532","sigue"
"533","factor"
"534","importante"
"535","detras"
"536","expansion"
"537","economia"
"538","estadounidense"
"539","asimismo"
"540","dado"
"541","inicio"
"542","proceso"
"543","normalizacion"
"544","interes"
"545","politica"
"546","caracter"
"547","gradual"
"548","reduciendo"
"549","paulatinamente"
"550","condiciones"
"551","expansivas"
"552","crecimiento"
"553","mundial"
"554","crecimientos"
"555","regionales"
"556","ponderados"
"557","participacion"
"558","pib"
"559","mundial"
"560","ppc"
"561","considerados"
"562","representan"
"563","pib"
"564","mundial"
"565","nueva"
"566","metodologia"
"567","calculo"
"568","pib"
"569","indonesia"
"570","malasia"
"571","tailandia"
"572","singapur"
"573","corea"
"574","filipinas"
"575","taiwan"
"576","hong"
"577","kong"
"578","argentina"
"579","mexico"
"580","uruguay"
"581","venezuela"
"582","ecuador"
"583","paraguay"
"584","bolivia"
"585","peru"
"586","crecimiento"
"587","principales"
"588","socios"
"589","comerciales"
"590","ponderados"
"591","participacion"
"592","exportaciones"
"593","totales"
"594","considerados"
"595","destino"
"596","exportaciones"
"597","crecimiento"
"598","principales"
"599","socios"
"600","comerciales"
"601","ponderados"
"602","participacion"
"603","exportaciones"
"604","cobre"
"605","considerados"
"606","destino"
"607","exportaciones"
"608","cobre"
"609","p"
"610","provisional"
"611","estimacion"
"612","f"
"613","proyeccion"
"614","fuentes"
"615","banco"
"616","muestra"
"617","banco"
"618","inversion"
"619","fondo"
"620","monetario"
"621","internacional"
"622","importantes"
"623","desequilibrios"
"624","macroeconomicos"
"625","deficit"
"626","cuenta"
"627","corriente"
"628","inferior"
"629","pib"
"630","deficit"
"631","fiscal"
"632","levemente"
"633","debajo"
"634","pib"
"635","representan"
"636","riesgo"
"637","crecimiento"
"638","economia"
"639","mediano"
"640","escenario"
"641","brechas"
"642","cerraran"
"643","forma"
"644","gradual"
"645","contribuyendo"
"646","ello"
"647","paulatina"
"648","reduccion"
"649","deficit"
"650","fiscal"
"651","depreciacion"
"652","registrada"
"653","dolar"
"654","mercados"
"655","internacionales"
"656","riesgo"
"657","sentido"
"658","produzcan"
"659","nuevas"
"660","depreciaciones"
"661","aceleradas"
"662","dolar"
"663","aumentos"
"664","interes"
"665","posibilidad"
"666","mayores"
"667","preocupaciones"
"668","desequilibrios"
"669","mencionados"
"670","proyecciones"
"671","crecimiento"
"672","corrigen"
"673","levemente"
"674","baja"
"675","acercandose"
"676","region"
"677","crecido"
"678","revision"
"679","proyecciones"
"680","asocia"
"681","desaceleracion"
"682","sector"
"683","externo"
"684","afectado"
"685","cifra"
"686","deficits"
"687","deficit"
"688","gobierno"
"689","federal"
"690","dato"
"691","circula"
"692","mucha"
"693","frecuencia"
"694","analisis"
"695","mercado"
"696","orden"
"697","pib"
"698","escenario"
"699","internacional"
"700","precio"
"701","petroleo"
"702","pronunciada"
"703","apreciacion"
"704","moneda"
"705","region"
"706","demanda"
"707","interna"
"708","dado"
"709","muestras"
"710","claras"
"711","recuperacion"
"712","indicadores"
"713","clima"
"714","negocios"
"715","confianza"
"716","consumidores"
"717","alto"
"718","desempleo"
"719","auguran"
"720","cambio"
"721","pobre"
"722","panorama"
"723","interno"
"724","mayores"
"725","riesgo"
"726","continuan"
"727","asociados"
"728","precio"
"729","petroleo"
"730","dados"
"731","efectos"
"732","actividad"
"733","inflacion"
"734","apreciacion"
"735","afectando"
"736","dinamica"
"737","exportaciones"
"738","economia"
"739","japonesa"
"740","crecido"
"741","tasa"
"742","alta"
"743","pese"
"744","desacelero"
"745","fuertemente"
"746","crecimiento"
"747","pib"
"748","trimestral"
"749","anualizado"
"750","segunda"
"751","mitad"
"752","demanda"
"753","interna"
"754","continua"
"755","entregando"
"756","senales"
"757","debilidad"
"758","fragilidad"
"759","consumo"
"760","privado"
"761","agrega"
"762","sector"
"763","externo"
"764","menos"
"765","robusto"
"766","afectado"
"767","elevado"
"768","precio"
"769","petroleo"
"770","apreciacion"
"771","yen"
"772","cierta"
"773","debilidad"
"774","indicadores"
"775","actividad"
"776","manufacturera"
"777","servicios"
"778","cuarto"
"779","reflejado"
"780","revisiones"
"781","baja"
"782","proyecciones"
"783","crecimiento"
"784","respecto"
"785","pasado"
"786","obstante"
"787","encuestas"
"788","confianza"
"789","empresasrial"
"790","evidencia"
"791","sector"
"792","corporativo"
"793","solido"
"794","constituyen"
"795","senal"
"796","positiva"
"797","futuro"
"798","bien"
"799","sistema"
"800","financiero"
"801","japones"
"802","continua"
"803","recuperandose"
"804","necesario"
"805","completar"
"806","reestructuracion"
"807","sentar"
"808","bases"
"809","crecimiento"
"810","economico"
"811","sostenible"
"812","creceria"
"813","cuarto"
"814","corresponde"
"815","estimaciones"
"816","debajo"
"817","bienio"
"818","proyecciones"
"819","asia"
"820","emergente"
"821","terminado"
"822","creciendo"
"823","fuentes"
"824","consensus"
"825","forecasts"
"826","ajustado"
"827","proyecciones"
"828","muestra"
"829","proyectado"
"830","perspectivas"
"831","crecimiento"
"832","banco"
"833","inversion"
"834","proximo"
"835","promedian"
"836","asia"
"837","emergente"
"838","constituye"
"839","region"
"840","fondo"
"841","monetario"
"842","internacional"
"843","banco"
"844","dinamica"
"845","liderada"
"846","dinamismo"
"847","region"
"848","apoyado"
"849","desempeno"
"850","sector"
"851","externo"
"852","fortaleza"
"853","demanda"
"854","interna"
"855","mayoria"
"856","economias"
"857","consenso"
"858","respecto"
"859","crecimiento"
"860","continua"
"861","apuntando"
"862","ajuste"
"863","gradual"
"864","ritmo"
"865","expansion"
"866","mitigado"
"867","preocupacion"
"868","respecto"
"869","trayectoria"
"870","inflacionaria"
"871","economias"
"872","region"
"873","gracias"
"874","proceso"
"875","gradual"
"876","restriccion"
"877","liquidez"
"878","mayoria"
"879","mercados"
"880","locales"
"881","podrian"
"882","verse"
"883","revisiones"
"884","marginales"
"885","baja"
"886","presente"
"887","consecuencia"
"888","maremotos"
"889","estremecieron"
"890","varios"
"891","region"
"892","escenario"
"893","internacional"
"894","continua"
"895","positivo"
"896","terminos"
"897","crecimiento"
"898","mundial"
"899","precios"
"900","altos"
"901","mayoria"
"902","productos"
"903","basicos"
"904","exportacion"
"905","positivas"
"906","condiciones"
"907","financieras"
"908","internacionales"
"909","favorecio"
"910","dinamismo"
"911","generalidad"
"912","economias"
"913","estimacion"
"914","crecimiento"
"915","elevo"
"916","punto"
"917","porcentual"
"918","respecto"
"919","ipom"
"920","llegando"
"921","cifra"
"922","casi"
"923","duplica"
"924","decada"
"925","proyecta"
"926","desaceleracion"
"927","crecimiento"
"928","promediando"
"929","asociado"
"930","menor"
"931","dinamismo"
"932","mundial"
"933","cabe"
"934","mencionar"
"935","correccion"
"936","cifras"
"937","crecimiento"
"938","respecto"
"939","ipom"
"940","pasado"
"941","corresponde"
"942","solo"
"943","cambios"
"944","perspectivas"
"945","economia"
"946","sino"
"947","influida"
"948","cambio"
"949","metodologia"
"950","estimacion"
"951","deflactor"
"952","pib"
"953","revisa"
"954","cifras"
"955","fecha"
"956","afecta"
"957","deflactor"
"958","inversion"
"959","estimaciones"
"960","consumo"
"961","privado"
"962","politica"
"963","monetaria"
"964","condiciones"
"965","financieras"
"966","internacionales"
"967","menos"
"968","propicias"
"969","interes"
"970","internas"
"971","elevadas"
"972","argentina"
"973","contexto"
"974","continuado"
"975","beneficiandose"
"976","favorable"
"977","escenario"
"978","externo"
"979","mantener"
"980","ritmo"
"981","crecimiento"
"982","futuro"
"983","dependera"
"984","proceso"
"985","canje"
"986","deuda"
"987","mora"
"988","acreedores"
"989","privados"
"990","condiciona"
"991","aprobacion"
"992","tercera"
"993","revision"
"994","acuerdo"
"995","fmi"
"996","reconstruir"
"997","sistema"
"998","financiero"
"999","reestablecer"
"1000","sistema"
"1001","respeto"
"1002","contratos"
"1003","elementos"
"1004","recuperacion"
"1005","actividad"
"1006","ido"
"1007","consolidando"
"1008","conforme"
"1009","mejor"
"1010","desempeno"
"1011","demanda"
"1012","interna"
"1013","sector"
"1014","externo"
"1015","asimismo"
"1016","adecuado"
"1017","manejo"
"1018","deuda"
"1019","publica"
"1020","unido"
"1021","aumento"
"1022","superavit"
"1023","fiscal"
"1024","primario"
"1025","proyectado"
"1026","compromiso"
"1027","mostrado"
"1028","meta"
"1029","inflacion"
"1030","fortalecido"
"1031","confianza"
"1032","inversionistas"
"1033","futuro"
"1034","consolidacion"
"1035","crecimiento"
"1036","dependera"
"1037","precio"
"1038","nominal"
"1039","petroleo"
"1040","reduccion"
"1041","deuda"
"1042","publica"
"1043","introduccion"
"1044","reformas"
"1045","estructurales"
"1046","barril"
"1047","ambitos"
"1048","laboral"
"1049","tributario"
"1050","economia"
"1051","mexicana"
"1052","ido"
"1053","consolidando"
"1054","expansion"
"1055","dinamica"
"1056","exhibida"
"1057","principal"
"1058","socio"
"1059","comercial"
"1060","alto"
"1061","precio"
"1062","petroleo"
"1063","embargo"
"1064","precio"
"1065","materias"
"1066","primas"
"1067","mantenido"
"1068","inercia"
"1069","inflacion"
"1070","permitido"
"1071","anclar"
"1072","expectativas"
"1073","dentro"
"1074","meta"
"1075","comprometida"
"1076","esperan"
"1077","nuevas"
"1078","restricciones"
"1079","liquidez"
"1080","crecimiento"
"1081","sostenible"
"1082","mediano"
"1083","largo"
"1084","importante"
"1085","continue"
"1086","avanzando"
"1087","reformas"
"1088","estructurales"
"1089","economia"
"1090","plano"
"1091","fiscal"
"1092","nominal"
"1093","precios"
"1094","materias"
"1095","primas"
"1096","terminos"
"1097","intercambio"
"1098","despues"
"1099","precio"
"1100","barril"
"1101","petroleo"
"1102","superara"
"1103","corresponde"
"1104","mensual"
"1105","petroleo"
"1106","brent"
"1107","transado"
"1108","bolsa"
"1109","internacional"
"1110","petroleo"
"1111","londres"
"1112","cifra"
"1113","descendido"
"1114","niveles"
"1115","llevo"
"1116","corresponde"
"1117","precio"
"1118","importacion"
"1119","petroleo"
"1120","publicado"
"1121","depto"
"1122","evolucion"
"1123","precio"
"1124","crudo"
"1125","energia"
"1126","explica"
"1127","factores"
"1128","caracter"
"1129","estructural"
"1130","fuerte"
"1131","demanda"
"1132","escasas"
"1133","holguras"
"1134","produccion"
"1135","factores"
"1136","coyunturales"
"1137","contribuido"
"1138","mantener"
"1139","precio"
"1140","alto"
"1141","depreciacion"
"1142","experimentada"
"1143","moneda"
"1144","mercados"
"1145","internacionales"
"1146","proximos"
"1147","persistencia"
"1148","factores"
"1149","proyecciones"
"1150","precio"
"1151","petroleo"
"1152","brent"
"1153","incertidumbre"
"1154","asociados"
"1155","oferta"
"1156","demanda"
"1157","barril"
"1158","combustibles"
"1159","contexto"
"1160","bajas"
"1161","holguras"
"1162","capacidad"
"1163","productiva"
"1164","mantendra"
"1165","elevado"
"1166","premio"
"1167","riesgo"
"1168","adicionalmente"
"1169","destacan"
"1170","esfuerzos"
"1171","opep"
"1172","mantener"
"1173","actuales"
"1174","precios"
"1175","anunciando"
"1176","recortes"
"1177","produccion"
"1178","sugiere"
"1179","revisar"
"1180","proyecciones"
"1181","precio"
"1182","petroleo"
"1183","proximo"
"1184","hoy"
"1185","ubican"
"1186","convergiendo"
"1187","precio"
"1188","barril"
"1189","precio"
"1190","libra"
"1191","cobre"
"1192","mantenido"
"1193","trayectoria"
"1194","positiva"
"1195","mes"
"1196","registrando"
"1197","superiores"
"1198","petroleo"
"1199","brent"
"1200","estimado"
"1201","precio"
"1202","petroleo"
"1203","west"
"1204","quedo"
"1205","aumento"
"1206","asocia"
"1207","texas"
"1208","intermediate"
"1209","ajustando"
"1210","diferencia"
"1211","observada"
"1212","solido"
"1213","panorama"
"1214","crecimiento"
"1215","mundial"
"1216","junto"
"1217","lenta"
"1218","f"
"1219","proyeccion"
"1220","fuentes"
"1221","banco"
"1222","huracanes"
"1223","golfo"
"1224","mexico"
"1225","suspension"
"1226","envios"
"1227","petrolera"
"1228","rusa"
"1229","yukos"
"1230","tensiones"
"1231","politicas"
"1232","nigeria"
"1233","creciente"
"1234","demanda"
"1235","constituir"
"1236","inventarios"
"1237","energy"
"1238","international"
"1239","administration"
"1240","depto"
"1241","energia"
"1242","estrategicos"
"1243","principales"
"1244","economias"
"1245","desarrolladas"
"1246","reposicion"
"1247","inventarios"
"1248","calefaccion"
"1249","obstante"
"1250","recuperacion"
"1251","rapida"
"1252","esperado"
"1253","scotiabank"
"1254","market"
"1255","trends"
"1256","goldman"
"1257","sachs"
"1258","energy"
"1259","watch"
"1260","operaciones"
"1261","golfo"
"1262","mexico"
"1263","aumento"
"1264","produccion"
"1265","jp"
"1266","morgan"
"1267","chase"
"1268","oil"
"1269","gas"
"1270","monthly"
"1271","opep"
"1272","facilitaron"
"1273","rapida"
"1274","recuperacion"
"1275","inventarios"
"1276","activa"
"1277","deutsche"
"1278","bank"
"1279","world"
"1280","outlook"
"1281","participacion"
"1282","agentes"
"1283","especuladores"
"1284","contribuyo"
"1285","amplificar"
"1286","efectos"
"1287","merrill"
"1288","lynch"
"1289","asiapacific"
"1290","oil"
"1291","gas"
"1292","precio"
"1293","factores"
"1294","mencionados"
"1295","escenario"
"1296","internacional"
"1297","respuesta"
"1298","oferta"
"1299","seguido"
"1300","configurando"
"1301","escenario"
"1302","estrechez"
