"","x"
"1","banco"
"2","crecimiento"
"3","mediano"
"4","proyecciones"
"5","consejo"
"6","entrega"
"7","ipom"
"8","materializa"
"9","inversion"
"10","instante"
"11","capital"
"12","disponible"
"13","construyen"
"14","usando"
"15","serie"
"16","supuestos"
"17","trabajo"
"18","dentro"
"19","uso"
"20","mineria"
"21","sector"
"22","inversion"
"23","crecio"
"24","crecimiento"
"25","mediano"
"26","relevante"
"27","tiempo"
"28","rezagos"
"29","tienden"
"30","largos"
"31","ancla"
"32","vision"
"33","crecimiento"
"34","economia"
"35","da"
"36","luces"
"37","resto"
"38","economia"
"39","brechas"
"40","capacidad"
"41","internas"
"42","sector"
"43","minero"
"44","sostenida"
"45","baja"
"46","ley"
"47","rango"
"48","utilizado"
"49","referencia"
"50","variable"
"51","revisado"
"52","yacimientos"
"53","hace"
"54","dificil"
"55","calculo"
"56","productividad"
"57","dada"
"58","necesariamente"
"59","modificado"
"60","periodicamente"
"61","importancia"
"62","economia"
"63","nacional"
"64","contamina"
"65","medicion"
"66","ejemplo"
"67","publicacion"
"68","cifras"
"69","cuentas"
"70","nacionales"
"71","productividad"
"72","agregada"
"73","particularidades"
"74","hecho"
"75","terremoto"
"76","maremoto"
"77","cambios"
"78","inflacion"
"79","relacionada"
"80","ocurre"
"81","costos"
"82","energia"
"83","ocasiones"
"84","revisado"
"85","sectores"
"86","diferentes"
"87","recursos"
"88","naturales"
"89","rrnn"
"90","sugieren"
"91","supuesto"
"92","trabajo"
"93","razonable"
"94","calcular"
"95","pib"
"96","mediano"
"97","separado"
"98","ambos"
"99","grupos"
"100","rrnn"
"101","resto"
"102","procedimiento"
"103","utilizado"
"104","presenta"
"105","revaluacion"
"106","crecimiento"
"107","banco"
"108","mediano"
"109","realizada"
"110","consejo"
"111","ocasion"
"112","ipom"
"113","oportunidad"
"114","consejo"
"115","estima"
"116","sectores"
"117","rrnn"
"118","estimacion"
"119","crecimiento"
"120","adecuado"
"121","reducir"
"122","dicha"
"123","estimacion"
"124","mediano"
"125","hace"
"126","proyeccion"
"127","produccion"
"128","considerado"
"129","referencia"
"130","ipom"
"131","cifra"
"132","futura"
"133","principales"
"134","empresas"
"135","sector"
"136","resto"
"137","estimacion"
"138","basa"
"139","analisis"
"140","comportamiento"
"141","tendencial"
"142","capital"
"143","trabajo"
"144","productividad"
"145","determinantes"
"146","crecimiento"
"147","mediano"
"148","crecimiento"
"149","mediano"
"150","sectores"
"151","resto"
"152","producto"
"153","mediano"
"154","determinado"
"155","cantidad"
"156","factores"
"157","productivos"
"158","capital"
"159","trabajo"
"160","existentes"
"161","evolucion"
"162","prevista"
"163","empleo"
"164","ajustado"
"165","horas"
"166","calidad"
"167","economia"
"168","eficiencia"
"169","combinados"
"170","varios"
"171","supone"
"172","crecimiento"
"173","mediano"
"174","elementos"
"175","hacen"
"176","medicion"
"177","dichos"
"178","factores"
"179","compleja"
"180","proximos"
"181","cifra"
"182","superior"
"183","estimada"
"184","basa"
"185","siguientes"
"186","supuestos"
"187","primero"
"188","empleo"
"189","inversion"
"190","stock"
"191","capital"
"192","producto"
"193","lado"
"194","participacion"
"195","laboral"
"196","femenina"
"197","debajo"
"198","miden"
"199","forma"
"200","imperfecta"
"201","eficiencia"
"202","muestra"
"203","conjunto"
"204","ocde"
"205","supone"
"206","economia"
"207","directamente"
"208","observable"
"209","implica"
"210","solo"
"211","seguira"
"212","aumentando"
"213","lentamente"
"214","venideros"
"215","medirse"
"216","indirectamente"
"217","hace"
"218","calculo"
"219","lado"
"220","incorpora"
"221","nuevo"
"222","ajuste"
"223","calidad"
"224","llamada"
"225","productividad"
"226","factores"
"227","ptf"
"228","corresponde"
"229","empleo"
"230","estudio"
"231","crecimiento"
"232","atribuirse"
"233","acumulacion"
"234","trabajadores"
"235","ido"
"236","incorporando"
"237","mercado"
"238","laboral"
"239","recursos"
"240","productivos"
"241","utilizacion"
"242","factores"
"243","aumentado"
"244","productividad"
"245","asociada"
"246","produccion"
"247","eficiencia"
"248","uso"
"249","varian"
"250","ciclo"
"251","horas"
"252","trabajadas"
"253","cambios"
"254","respecto"
"255","estimaciones"
"256","economico"
"257","multiples"
"258","razones"
"259","asociadas"
"260","evolucion"
"261","anteriores"
"262","acuerdo"
"263","proyecciones"
"264","ine"
"265","mediano"
"266","economia"
"267","dificultando"
"268","calculo"
"269","ptf"
"270","asume"
"271","crecimiento"
"272","poblacion"
"273","horizonte"
"274","agrega"
"275","hecho"
"276","sectores"
"277","descendera"
"278","cifras"
"279","orden"
"280","existen"
"281","diferencias"
"282","rezago"
"283","momento"
"284","mineria"
"285","pesca"
"286","electricidad"
"287","gas"
"288","agua"
"289","estimaciones"
"290","organismos"
"291","naciones"
"292","unidas"
"293","apuntan"
"294","ipom"
"295","crecimiento"
"296","poblacion"
"297","edad"
"298","trabajar"
"299","menor"
"300","sesgar"
"301","ipom"
"302","ipom"
"303","proyeccion"
"304","considerada"
"305","politica"
"306","monetaria"
"307","luego"
"308","evolucion"
"309","prevista"
"310","ptf"
"311","sectores"
"312","resto"
"313","sugieren"
"314","datos"
"315","estimaciones"
"316","recientes"
