"","x"
"1","politica"
"2","monetaria"
"3","escenario"
"4","internacional"
"5","analiza"
"6","evolucion"
"7","reciente"
"8","perspectivas"
"9","economia"
"10","mundial"
"11","proximos"
"12","describe"
"13","escenario"
"14","externo"
"15","crecimiento"
"16","pib"
"17","regiones"
"18","probable"
"19","principales"
"20","riesgo"
"21","variacion"
"22","desarrolladas"
"23","emergentes"
"24","crecimiento"
"25","mundial"
"26","escenario"
"27","internacional"
"28","ido"
"29","asentando"
"30","panorama"
"31","mundo"
"32","desarrollado"
"33","recuperacion"
"34","lenta"
"35","sostenida"
"36","emergente"
"37","reducira"
"38","expansion"
"39","respecto"
"40","previos"
"41","lado"
"42","aprecia"
"43","mejor"
"44","desempeno"
"45","economias"
"46","desarrolladas"
"47","lideradas"
"48","unidos"
"49","lado"
"50","economias"
"51","emergentes"
"52","continuado"
"53","desacelerandose"
"54","menos"
"55","marcadamente"
"56","trimestres"
"57","previos"
"58","reciente"
"59","resalta"
"60","repunte"
"61","registros"
"62","crecimiento"
"63","proyeccion"
"64","corresponden"
"65","proyecciones"
"66","cuarto"
"67","crecimiento"
"68","socios"
"69","comerciales"
"70","permanece"
"71","cambios"
"72","ajusta"
"73","decimas"
"74","baja"
"75","canada"
"76","eurozona"
"77","suiza"
"78","argentina"
"79","bolivia"
"80","ecuador"
"81","mexico"
"82","peru"
"83","rep"
"84","corea"
"85","taiwan"
"86","venezuela"
"87","mejor"
"88","panorama"
"89","mundo"
"90","desarrollado"
"91","plasmado"
"92","banco"
"93","optimismo"
"94","reflejan"
"95","encuestas"
"96","gerentes"
"97","compra"
"98","empresas"
"99","manufacturas"
"100","servicios"
"101","confianza"
"102","consumidores"
"103","buen"
"104","desempeno"
"105","mercados"
"106","bursatiles"
"107","crecimiento"
"108","actividad"
"109","volvio"
"110","acelerar"
"111","trimestral"
"112","anualizado"
"113","importante"
"114","contribucion"
"115","consumo"
"116","bienes"
"117","inversion"
"118","residencial"
"119","aporte"
"120","inventarios"
"121","pone"
"122","nota"
"123","crecimiento"
"124","mundial"
"125","cautela"
"126","destacan"
"127","buenos"
"128","resultados"
"129","obtenidos"
"130","empresas"
"131","banco"
"132","variacion"
"133","relajacion"
"134","estandares"
"135","credito"
"136","grandes"
"137","prom"
"138","prom"
"139","f"
"140","f"
"141","f"
"142","empresas"
"143","recuperacion"
"144","mercado"
"145","laboral"
"146","sigue"
"147","curso"
"148","saludable"
"149","mundo"
"150","ppc"
"151","creacion"
"152","empleos"
"153","reduccion"
"154","tasa"
"155","desempleo"
"156","va"
"157","mundial"
"158","tc"
"159","mercado"
"160","embargo"
"161","desacuerdos"
"162","politicos"
"163","relacion"
"164","presupuesto"
"165","socios"
"166","comerciales"
"167","techo"
"168","deuda"
"169","generaron"
"170","tensiones"
"171","desencadenaron"
"172","paralizacion"
"173","unidos"
"174","eurozona"
"175","gobierno"
"176","alrededor"
"177","semanas"
"178","mermar"
"179","crecimiento"
"180","cuarto"
"181","acuerdos"
"182","alcanzados"
"183","transitorios"
"184","india"
"185","tensiones"
"186","podrian"
"187","reanudar"
"188","principios"
"189","resto"
"190","asia"
"191","excl"
"192","exp"
"193","prod"
"194","basicos"
"195","eurozona"
"196","aprecian"
"197","signos"
"198","mejoria"
"199","region"
"200","ratifico"
"201","estimacion"
"202","salida"
"203","recesion"
"204","creciendo"
"205","consecutivo"
"206","f"
"207","proyeccion"
"208","menor"
"209","velocidad"
"210","asimismo"
"211","economias"
"212","perifericas"
"213","lograron"
"214","crecer"
"215","definiciones"
"216","glosario"
"217","primera"
"218","vez"
"219","luego"
"220","varios"
"221","trimestres"
"222","contraccion"
"223","anaden"
"224","avances"
"225","fuentes"
"226","banco"
"227","muestra"
"228","banco"
"229","inversion"
"230","consensus"
"231","forecasts"
"232","fondo"
"233","monetario"
"234","internacional"
"235","llevar"
"236","cabo"
"237","reformas"
"238","estructurales"
"239","sistema"
"240","bancario"
"241","oficinas"
"242","pais"
"243","banco"
"244","europeo"
"245","reiterado"
"246","compromiso"
"247","mantener"
"248","impulso"
"249","monetario"
"250","tiempo"
"251","prolongado"
"252","renovando"
"253","medidas"
"254","liquidez"
"255","recortando"
"256","tasa"
"257","interes"
"258","embargo"
"259","persisten"
"260","dificultades"
"261","importantes"
"262","pese"
"263","mejoras"
"264","actividad"
"265","desempleo"
"266","sigue"
"267","elevado"
"268","banco"
"269","vulnerabilidades"
"270","compleja"
"271","situacion"
"272","fiscal"
"273","financiera"
"274","continuan"
"275","expectativas"
"276","gerentes"
"277","compra"
"278","pmi"
"279","presentes"
"280","escenario"
"281","preve"
"282","crecimiento"
"283","difusion"
"284","pivote"
"285","eurozona"
"286","actividad"
"287","acelero"
"288","manufacturas"
"289","ec"
"290","desarrolladas"
"291","servicios"
"292","ec"
"293","desarrolladas"
"294","manufacturas"
"295","ec"
"296","emergentes"
"297","servicios"
"298","ec"
"299","emergentes"
"300","velocidad"
"301","expansion"
"302","trimestral"
"303","anualizado"
"304","sectores"
"305","economicos"
"306","mostraron"
"307","avances"
"308","destacando"
"309","construccion"
"310","igualmente"
"311","expectativas"
"312","produccion"
"313","industrial"
"314","reduccion"
"315","tasa"
"316","desempleo"
"317","auguran"
"318","prosecucion"
"319","fortaleza"
"320","apreciaron"
"321","buenas"
"322","cifras"
"323","pib"
"324","crecio"
"325","trimestral"
"326","anualizado"
"327","tasa"
"328","desempleo"
"329","bajo"
"330","inflacion"
"331","aumento"
"332","obstante"
"333","consolidacion"
"334","fiscal"
"335","busca"
"336","reducir"
"337","elevada"
"338","deuda"
"339","publica"
"340","contempla"
"341","aumento"
"342","permanente"
"343","impuesto"
"344","consumo"
"345","parcialmente"
"346","compensado"
"347","medidas"
"348","transitorias"
"349","impulso"
"350","fiscal"
"351","ello"
"352","proyecciones"
"353","contenidas"
"354","ipom"
"355","adelantan"
"356","crecimiento"
"357","bajo"
"358","indica"
"359","expansion"
"360","contraccion"
"361","compara"
"362","banco"
"363","mundo"
"364","emergente"
"365","tras"
"366","deterioro"
"367","perspectivas"
"368","crecimiento"
"369","largo"
"370","estabilizado"
"371","ajustes"
"372","acumulados"
"373","proyeccion"
"374","crecimiento"
"375","mejor"
"376","desempeno"
"377","economia"
"378","economias"
"379","emergentes"
"380","datos"
"381","coyunturales"
