"","x"
"1","escenario"
"2","internacional"
"3","analiza"
"4","evolucion"
"5","reciente"
"6","perspectivas"
"7","economia"
"8","inflacion"
"9","ipc"
"10","mundial"
"11","proximos"
"12","describe"
"13","escenario"
"14","externo"
"15","variacion"
"16","relevante"
"17","considerado"
"18","probable"
"19","economia"
"20","principales"
"21","riesgo"
"22","inflacion"
"23","mundial"
"24","inflacion"
"25","incrementado"
"26","amplia"
"27","muestra"
"28","desarrollados"
"29","emergentes"
"30","aumentos"
"31","significativos"
"32","precios"
"33","energia"
"34","alimentos"
"35","situando"
"36","inflacion"
"37","foco"
"38","atencion"
"39","gran"
"40","banco"
"41","centrales"
"42","registros"
"43","efectivos"
"44","inflacion"
"45","superan"
"46","ampliamente"
"47","objetivos"
"48","fijado"
"49","autoridades"
"50","monetarias"
"51","esquemas"
"52","metas"
"53","inflacion"
"54","aquellos"
"55","metas"
"56","sobrepasan"
"57","niveles"
"58","cuales"
"59","autoridades"
"60","manifestado"
"61","sentirse"
"62","comodos"
"63","ejemplo"
"64","cifras"
"65","corresponden"
"66","geometrico"
"67","inflacion"
"68","ipc"
"69","alcanzo"
"70","region"
"71","mexico"
"72","peru"
"73","economias"
"74","emergentes"
"75","corea"
"76","sur"
"77","indonesia"
"78","malasia"
"79","singapur"
"80","tailandia"
"81","trayectoria"
"82","alcista"
"83","generalizada"
"84","refleja"
"85","registros"
"86","inflacion"
"87","taiwan"
"88","hungria"
"89","republica"
"90","checa"
"91","rusia"
"92","turquia"
"93","superan"
"94","republica"
"95","checa"
"96","particular"
"97","preocupacion"
"98","materias"
"99","primas"
"100","banco"
"101","ceic"
"102","comenzado"
"103","contaminar"
"104","precios"
"105","forma"
"106","vez"
"107","acentuada"
"108","expectativas"
"109","inflacion"
"110","mundial"
"111","trayectoria"
"112","alcista"
"113","hecho"
"114","amplia"
"115","gama"
"116","proyecciones"
"117","consenso"
"118","duplicado"
"119","respecto"
"120","preveia"
"121","atras"
"122","correcciones"
"123","expectativas"
"124","inflacion"
"125","magnitudes"
"126","menores"
"127","variacion"
"128","respuesta"
"129","panorama"
"130","endurecido"
"131","discursos"
"132","banco"
"133","centrales"
"134","respecto"
"135","compromiso"
"136","estabilidad"
"137","precios"
"138","casos"
"139","particular"
"140","economias"
"141","emergentes"
"142","ello"
"143","venido"
"144","acompanado"
"145","acciones"
"146","politica"
"147","monetaria"
"148","restrictivas"
"149","aumento"
"150","generalizado"
"151","registros"
"152","inflacion"
"153","perspectivas"
"154","refleja"
"155","variacion"
"156","efectiva"
"157","prevista"
"158","precios"
"159","externos"
"160","ipe"
"161","relevante"
"162","economia"
"163","aumento"
"164","estima"
"165","observara"
"166","incremento"
"167","proyectaba"
"168","escenario"
"169","ipe"
"170","crecera"
"171","horizonte"
"172","proyeccion"
"173","elevadas"
"174","barra"
"175","corresponde"
"176","proyeccion"
"177","inflacion"
"178","previstas"
"179","diferencia"
"180","correcciones"
"181","efectuadas"
"182","mes"
"183","calculan"
"184","promedios"
"185","geometricos"
"186","inflaciones"
"187","proyectadas"
"188","economias"
"189","economica"
"190","ipom"
"191","principal"
"192","cambio"
"193","incremento"
