"","x"
"1","escenario"
"2","internacional"
"3","revisa"
"4","evolucion"
"5","reciente"
"6","perspectivas"
"7","economia"
"8","contribucion"
"9","crecimiento"
"10","pib"
"11","mundial"
"12","proximos"
"13","variacion"
"14","trimestral"
"15","anualizada"
"16","crecimiento"
"17","mundial"
"18","economia"
"19","unidos"
"20","mostrado"
"21","desempeno"
"22","anticipado"
"23","comienzos"
"24","crecimiento"
"25","alcanzo"
"26","anualizado"
"27","liderado"
"28","inversion"
"29","consumo"
"30","privado"
"31","particularmente"
"32","asociado"
"33","bienes"
"34","durables"
"35","final"
"36","huracanes"
"37","golfo"
"38","mexico"
"39","provocaron"
"40","deterioro"
"41","transitorio"
"42","actividad"
"43","industrial"
"44","mercado"
"45","laboral"
"46","consumo"
"47","delante"
"48","obstante"
"49","gasto"
"50","asociado"
"51","reconstruccion"
"52","compensaria"
"53","efectos"
"54","negativos"
"55","fenomeno"
"56","natural"
"57","productividad"
"58","mantiene"
"59","desempeno"
"60","favorable"
"61","apoyando"
"62","perspectivas"
"63","positivas"
"64","actividad"
"65","precios"
"66","saldo"
"67","fiscal"
"68","mejor"
"69","esperado"
"70","variacion"
"71","inventarios"
"72","mayores"
"73","ingresos"
"74","deficit"
"75","cuenta"
"76","corriente"
"77","mantiene"
"78","alto"
"79","despues"
"80","haber"
"81","crecido"
"82","espera"
"83","bienio"
"84","bureau"
"85","economic"
"86","analysis"
"87","expansion"
"88","economia"
"89","estadounidense"
"90","economia"
"91","acelero"
"92","apoyada"
"93","dinamismo"
"94","inversion"
"95","bruta"
"96","privada"
"97","sector"
"98","externo"
"99","consumo"
"100","privado"
"101","continuo"
"102","debil"
"103","recientes"
"104","encuestas"
"105","indicadores"
"106","actividad"
"107","alguna"
"108","mejoria"
"109","crecimiento"
"110","mundial"
"111","industria"
"112","ligada"
"113","sector"
"114","exportador"
"115","apoyado"
"116","variacion"
"117","cambio"
"118","depreciado"
"119","respecto"
"120","registros"
"121","trimestres"
"122","previos"
"123","confianza"
"124","consumidores"
"125","repuntado"
"126","sigue"
"127","niveles"
"128","reducidos"
"129","elevados"
"130","registros"
"131","desempleo"
"132","menor"
"133","ingreso"
"134","disponible"
"135","afectado"
"136","aumento"
"137","costos"
"138","energia"
"139","proyecciones"
"140","crecimiento"
"141","ajustan"
"142","respectivamente"
"143","obstante"
"144","largo"
"145","estimaciones"
"146","ajustaron"
"147","marginalmente"
"148","baja"
"149","economia"
"150","japonesa"
"151","mejoro"
"152","perspectivas"
"153","crecimiento"
"154","comienzos"
"155","ponderadores"
"156","construidos"
"157","fmi"
"158","pasado"
"159","continuo"
"160","contemplan"
"161","revision"
"162","pib"
"163","definicion"
"164","glosario"
"165","expandiendose"
"166","crecimiento"
"167","trimestral"
"168","anualizado"
"169","dicho"
"170","p"
"171","preliminar"
"172","lapso"
"173","tres"
"174","primeros"
"175","trimestres"
"176","principales"
"177","f"
"178","proyeccion"
"179","factores"
"180","detras"
"181","dinamica"
"182","inversion"
"183","privada"
"184","consumo"
"185","fuentes"
"186","apoyado"
"187","positiva"
"188","evolucion"
"189","mercado"
"190","laboral"
"191","banco"
"192","muestra"
