"","x"
"1","politica"
"2","monetaria"
"3","escenario"
"4","internacional"
"5","analiza"
"6","evolucion"
"7","reciente"
"8","perspectivas"
"9","economia"
"10","mundial"
"11","proximos"
"12","describe"
"13","escenario"
"14","externo"
"15","crecimiento"
"16","mundial"
"17","probable"
"18","principales"
"19","riesgo"
"20","variacion"
"21","prom"
"22","prom"
"23","f"
"24","f"
"25","f"
"26","escenario"
"27","externo"
"28","relevante"
"29","mundo"
"30","ppc"
"31","deteriorado"
"32","ello"
"33","caida"
"34","terminos"
"35","intercambio"
"36","menor"
"37","mundial"
"38","tc"
"39","mercado"
"40","crecimiento"
"41","socios"
"42","comerciales"
"43","condiciones"
"44","financieras"
"45","menos"
"46","socios"
"47","comerciales"
"48","unidos"
"49","favorables"
"50","economias"
"51","emergentes"
"52","enfrentado"
"53","salidas"
"54","eurozona"
"55","capitales"
"56","depreciacion"
"57","monedas"
"58","respecto"
"59","dolar"
"60","aumentos"
"61","primas"
"62","riesgo"
"63","contexto"
"64","volatilidad"
"65","mercados"
"66","india"
"67","financieros"
"68","internacionales"
"69","antesala"
"70","ajuste"
"71","tasa"
"72","politica"
"73","resto"
"74","asia"
"75","excl"
"76","monetaria"
"77","unidos"
"78","embargo"
"79","tras"
"80","aumento"
"81","exp"
"82","prod"
"83","basicos"
"84","concretado"
"85","mostraron"
"86","tranquilidad"
"87","crecimiento"
"88","mundial"
"89","menor"
"90","definiciones"
"91","glosario"
"92","previsto"
"93","hace"
"94","especialmente"
"95","bajo"
"96","dinamismo"
"97","estimado"
"98","f"
"99","proyeccion"
"100","mundo"
"101","emergente"
"102","destacan"
"103","peores"
"104","perspectivas"
"105","fuentes"
"106","banco"
"107","muestra"
"108","banco"
"109","tener"
"110","alta"
"111","exposicion"
"112","precio"
"113","materias"
"114","primas"
"115","version"
"116","consensus"
"117","forecasts"
"118","fmi"
"119","oficinas"
"120","pais"
"121","requiere"
"122","ajustes"
"123","adicionales"
"124","economias"
"125","factores"
"126","locales"
"127","acentuado"
"128","desaceleracion"
"129","casos"
"130","proyeccion"
"131","crecimiento"
"132","socios"
"133","comerciales"
"134","ajusto"
"135","decimas"
"136","baja"
"137","decima"
"138","actividad"
"139","continuo"
"140","recuperandose"
"141","cuarto"
"142","pib"
"143","crecio"
"144","tt"
"145","anualizado"
"146","liderado"
"147","consumo"
"148","privado"
"149","inversion"
"150","viviendas"
"151","consumo"
"152","recibido"
"153","impulso"
"154","sostenida"
"155","fortaleza"
"156","mercado"
"157","laboral"
"158","expectativas"
"159","mantienen"
"160","optimistas"
"161","inversion"
"162","sector"
"163","energia"
"164","exportaciones"
"165","debilitaron"
"166","interes"
"167","bonos"
"168","gobierno"
"169","caida"
"170","precio"
"171","petroleo"
"172","apreciacion"
"173","dolar"
"174","menor"
"175","demanda"
"176","externa"
"177","eurozona"
"178","eurozona"
"179","actividad"
"180","continua"
"181","recuperacion"
"182","gradual"
"183","favorecida"
"184","menores"
"185","costos"
"186","energeticos"
"187","gasto"
"188","publico"
"189","politica"
"190","monetaria"
"191","expansiva"
"192","pib"
"193","crecio"
"194","tt"
"195","anualizado"
"196","destacando"
"197","continuo"
"198","fortalecimiento"
"199","consumo"
"200","privado"
"201","desempleo"
"202","niveles"
"203","altos"
"204","siguio"
"205","descendiendo"
"206","tras"
"207","registrar"
"208","caida"
"209","actividad"
"210","anoto"
"211","recuperacion"
"212","pib"
"213","crecio"
"214","tt"
"215","anualizado"
"216","impulsado"
"217","inversion"
"218","menor"
"219","precio"
"220","energia"
"221","sigue"
"222","contribuyendo"
"223","mantener"
"224","baja"
"225","inflacion"
"226","economias"
"227","desarrolladas"
"228","bastante"
"229","debajo"
"230","metas"
"231","respectivas"
"232","autoridades"
"233","monetarias"
"234","inflacion"
"235","ubico"
"236","corresponde"
"237","ipom"
"238","eurozona"
"239","alcanzo"
"240","inflacion"
"241","subyacente"
"242","excluye"
"243","alimentos"
"244","energia"
"245","alcanzo"
"246","eurozona"
"247","respectivamente"
"248","banco"
"249","observa"
"250","panorama"
"251","recuperacion"
"252","economias"
"253","desarrolladas"
"254","interes"
"255","bonos"
"256","gobierno"
"257","mayoria"
"258","marcado"
"259","mejor"
"260","desempeno"
"261","sectores"
"262","asociados"
"263","servicios"
"264","consumo"
"265","manufacturas"
"266","inversion"
"267","lentos"
"268","unidos"
"269","van"
"270","suiza"
"271","alemania"
"272","adelante"
"273","ciclo"
"274","respecto"
"275","eurozona"
"276","plasmado"
"277","divergencias"
"278","respecto"
"279","politica"
"280","monetaria"
"281","esperada"
"282","region"
"283","trayectoria"
"284","interes"
"285","bonos"
"286","gobierno"
"287","ipom"
"288","previo"
"289","aumentaron"
"290","eurozona"
"291","repunte"
"292","parcial"
"293","ipom"
"294","finalizaron"
"295","baja"
"296","particular"
"297","incrementado"
"298","diferencias"
"299","plazos"
"300","cortos"
"301","eurozona"
"302","incluso"
"303","vuelto"
"304","negativas"
"305","respecto"
"306","decisiones"
"307","politica"
"308","monetaria"
"309","reserva"
"310","federal"
"311","corresponde"
"312","fed"
"313","dio"
"314","inicio"
"315","tan"
"316","esperado"
"317","proceso"
"318","incrementando"
"319","rango"
"320","ipom"
"321","objetivo"
"322","fed"
"323","funds"
"324","rate"
"325","ffr"
"326","bien"
"327","temprano"
"328","evaluar"
"329","efectos"
"330","globales"
"331","inmediato"
"332","decision"
"333","provocado"
"334","cambios"
"335","significativos"
"336","mercados"
"337","financieros"
"338","fed"
"339","volvio"
"340","reiterar"
"341","intencion"
"342","seguir"
"343","trayectoria"
"344","gradual"
"345","retiro"
"346","estimulo"
"347","monetario"
"348","evolucion"
"349","expectativas"
"350","tasa"
"351","fed"
"352","funds"
"353","todavia"
"354","existen"
"355","discrepancias"
"356","vision"
"357","consenso"
"358","mercado"
"359","declaraciones"
"360","fed"
"361","respecto"
"362","velocidad"
"363","llegaria"
"364","fomc"
"365","fomc"
"366","tasa"
"367","discrepancias"
"368","foco"
"369","riesgo"
"370","toda"
"371","vez"
"372","fomc"
"373","aumento"
"374","rapido"
"375","interes"
"376","generar"
"377","descompresion"
"378","premios"
"379","evidencia"
"380","empirica"
"381","sugiere"
"382","correcciones"
"383","expandirse"
"384","activos"
"385","riesgoos"
"386","incluyendo"
"387","monedas"
"388","premios"
