"","x"
"1","escenario"
"2","internacional"
"3","escenario"
"4","internacional"
"5","examina"
"6","evolucion"
"7","reciente"
"8","perspectivas"
"9","economia"
"10","mundial"
"11","proximos"
"12","delineando"
"13","escenario"
"14","externo"
"15","probable"
"16","enfrentara"
"17","economia"
"18","analiza"
"19","evolucion"
"20","actividad"
"21","economica"
"22","mundial"
"23","inflacion"
"24","internacional"
"25","terminos"
"26","intercambio"
"27","condiciones"
"28","financieras"
"29","internacionales"
"30","afectaran"
"31","perspectivas"
"32","actividad"
"33","mundial"
"34","avizoran"
"35","favorables"
"36","respecto"
"37","reportado"
"38","pasado"
"39","ello"
"40","recuperacion"
"41","esperada"
"42","unidos"
"43","efectos"
"44","proyecciones"
"45","resto"
"46","mundo"
"47","comienzan"
"48","sentir"
"49","especialmente"
"50","asia"
"51","emergente"
"52","precios"
"53","productos"
"54","basicos"
"55","registrado"
"56","incrementos"
"57","generalizados"
"58","panorama"
"59","flujos"
"60","capitales"
"61","mejorado"
"62","levemente"
"63","aprecia"
"64","tendencia"
"65","baja"
"66","spreads"
"67","soberanos"
"68","diversas"
"69","economias"
"70","latinoamericanas"
"71","pesar"
"72","deteriorada"
"73","situacion"
"74","argentina"
"75","crecimiento"
"76","mundial"
"77","proyeccion"
"78","crecimiento"
"79","economico"
"80","mundial"
"81","medida"
"82","precios"
"83","paridad"
"84","poder"
"85","compra"
"86","ppc"
"87","consensus"
"88","forecast"
"89","ajustada"
"90","estimaciones"
"91","muestra"
"92","banco"
"93","inversion"
"94","estima"
"95","considerablemente"
"96","mejor"
"97","esperaba"
"98","mejor"
"99","panorama"
"100","mundial"
"101","contribuye"
"102","recuperacion"
"103","rapida"
"104","esperado"
"105","unidos"
"106","impacto"
"107","ello"
"108","resto"
"109","produccion"
"110","industrial"
"111","pib"
"112","principales"
"113","mundo"
"114","especialmente"
"115","economias"
"116","asiaticas"
"117","comercio"
"118","exterior"
"119","economias"
"120","exportaciones"
"121","mundo"
"122","fuertemente"
"123","ligado"
"124","economia"
"125","norteamericana"
"126","embargo"
"127","crecimiento"
"128","doce"
"129","correcciones"
"130","baja"
"131","proyecciones"
"132","crecimiento"
"133","america"
"134","produccion"
"135","industrial"
"136","latina"
"137","originadas"
"138","fuerte"
"139","caida"
"140","esperada"
"141","argentina"
"142","llevan"
"143","pib"
"144","exportaciones"
"145","reales"
"146","estimacion"
"147","crecimiento"
"148","mundial"
"149","principales"
"150","socios"
"151","comerciales"
"152","solo"
"153","eleve"
"154","respecto"
"155","previsto"
"156","excluyendo"
"157","argentina"
"158","estimacion"
"159","incrementa"
"160","consistente"
"161","panorama"
"162","crecimiento"
"163","favorable"
"164","obtiene"
"165","medirlo"
"166","ppc"
"167","punto"
"168","cabe"
"169","mencionar"
"170","disminucion"
"171","ritmo"
"172","actividad"
"173","mundial"
"174","pasado"
"175","pronunciada"
"176","mide"
"177","produccion"
"178","industrial"
"179","flujos"
"180","comercio"
"181","situacion"
"182","mantiene"
"183","primeros"
"184","impacto"
"185","economias"
"186","gran"
"187","apertura"
"188","profundo"
"189","duracion"
"190","principales"
"191","economias"
"192","creciendo"
"193","notas"
